route_id,agency_id,route_short_name,route_long_name,route_type,route_color
10258507,Nexion,876,MiniBus 876,3,
10258702,Nexion,202,MiniBus 202,3,
10258703,Nexion,878,MiniBus 878,3,
10258873,Nexion,222,MiniBus 222,3,
10259073,Nexion,922,MiniBus 922,3,
10259074,Nexion,889,MiniBus 889,3,
10261193,Nexion,857,MiniBus 857,3,
10261371,Nexion,906,MiniBus 906,3,
10263255,Nexion,249,MiniBus 249,3,
10263539,Nexion,853,MiniBus 853,3,
10263540,Nexion,918,MiniBus 918,3,
10263580,Nexion,801,MiniBus 801,3,
15958868,Sindicato de Transporte Eduardo Avaroa,Trufi a San Pedro,Trufi 408: Ciudad Satélite - San Pedro,3,
16805300,Sistema Municipal de Transporte (SETRAM). GAMLP,PK2-VUELTA,PumaKatari-Ruta Villa Salomé Vuelta-Plaza Camacho → Calle Cosmos 85,3,
17383390,Sindicato de transporte mixto "Simón Bolivar",893,MiniBus 893: Reyesano → Rio Abuná,3,
17675641,Sindicato de Transporte Eduardo Avaroa,453,Trufi 453: Cruce Viacha → San Pedro,3,
17767401,Sindicato de Transporte Eduardo Avaroa,453,Trufi 453: San Pedro → Cruce Viacha,3,
18750470,Sindicato Villa Victoria,196,Trufi 196: Cruce Villa Adela → San Carlos,3,
19198167,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Chasquipampa,PumaKatari-Chasquipampa-Vuelta,3,
12877839519,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Plaza Camacho (Chasquipampa-VUELTA),PumaKatari-Plaza Camacho (Chasquipampa-VUELTA),3,
12877957132,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Cancha Zapata (Chasquipampa-VUELTA),PumaKatari-Cancha Zapata (Chasquipampa-VUELTA),3,
12878155792,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Avenida del Poeta (Chasquipampa-VUELTA),PumaKatari-Avenida del Poeta (Chasquipampa-VUELTA),3,
322599253,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Curva de Holguin (Chasquipampa-VUELTA),PumaKatari-Curva de Holguin (Chasquipampa-VUELTA),3,
12881586463,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Obrajes Calle 2 (Chasquipampa-VUELTA),PumaKatari-Obrajes Calle 2 (Chasquipampa-VUELTA),3,
12881586465,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Obrajes Calle 6 (Chasquipampa-VUELTA),PumaKatari-Obrajes Calle 6 (Chasquipampa-VUELTA),3,
12881586467,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Señor de Exaltación (Chasquipampa-VUELTA),PumaKatari-Señor de Exaltación (Chasquipampa-VUELTA),3,
12881816714,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,PumaKatari-Plaza de la Loba (Chasquipampa-VUELTA),PumaKatari-Plaza de la Loba (Chasquipampa-VUELTA),3,
19422164,Sindicato Pedro Domingo Murillo,208,MiniBus 208: Calle 8 Villa El Carmen → Jurisdicción El Alto,3,
